community_area,address
WEST RIDGE,5835 N Lincoln Ave
NEAR NORTH SIDE,1350 N Lake Shore Dr
Near West Side,639 W ROOSEVELT RD
NEAR WEST SIDE,111 S Morgan St
SOUTH CHICAGO,8441 S Yates Blvd
NORTH CENTER,2000 W Diversey Ave
NEAR WEST SIDE,111 N Canal St
NEAR WEST SIDE,850 W Adams St
LAKE VIEW,320 322 W OAKDALE AVE
NEAR NORTH SIDE,1 W Superior St
South Shore,7511 S South Shore Dr
LAKE VIEW,740 750 W ADDISON ST
LINCOLN PARK,2111 N Halsted St
EAST GARFIELD PARK,3245 W ARTHINGTON ST
LOOP,624 S Michigan Ave
HYDE PARK,5631 S Kimbark Ave
KENWOOD,4653 4661 S LAKE PARK AVE
DOUGLAS,10 W 32nd Street
NEAR NORTH SIDE,1501 N STATE PKWY
NEAR WEST SIDE,145 S Campbell Ave
ROGERS PARK,1230 W Greenleaf Ave
NEAR NORTH SIDE,845 N State St
LOOP,1 E Jackson Blvd
NORTH LAWNDALE,1550  S ALBANY AVE
AUSTIN,5600 5608 W WASHINGTON BLVD
EAST GARFIELD PARK,919 S California Ave
North Lawndale,3640 W FILLMORE ST
GRAND BOULEVARD,4314 S Cottage Grove Ave
CLEARING,6140 S Melvina Ave
,450 W Belmont
NORTH PARK,5501 N Kedzie Ave
LAKE VIEW,707 W Waveland Ave
NEAR NORTH SIDE,1344  N DEARBORN ST
LAKE VIEW,3450 N Lake Shore Dr
NEAR WEST SIDE,913 921 W VAN BUREN ST
NEAR WEST SIDE,410  S MORGAN ST
NEAR NORTH SIDE,21 E Huron St
WEST RIDGE,2828 W Pratt Blvd
LAKE VIEW,450  W BRIAR PL
HYDE PARK,5604 - 5620 S Ellis Ave
UPTOWN,732  W BITTERSWEET PL
NEAR WEST SIDE,660 W Fulton Market
MCKINLEY PARK,1940 W 33rd St
EDGEWATER,5855 N Sheridan Rd
Near West Side,11 S Green St
Lake View,508 W Diversey Pkwy
,6149 N. Broadway
West Ridge,3101 W Touhy Ave
NEAR WEST SIDE,1340 W Harrison St
LOOP,1133 1137 S WABASH AVE
LINCOLN PARK,2623 2627 N CLARK ST
Near North Side,905 N Orleans St
WEST TOWN,1241 N Milwaukee Ave
SOUTH SHORE,6900 S SOUTH SHORE DR
LOOP,430 S Michigan Ave
Rogers Park,1125 W Loyola Ave
NEAR NORTH SIDE,211 E Chicago Ave
NEAR WEST SIDE,555 W Kinzie St
WEST RIDGE,6300 N Ridge Ave
NEAR NORTH SIDE,1209 1217 N ASTOR ST
NEAR NORTH SIDE,1455 - 1460 N Sandburg Ter
LAKE VIEW,3620 N. Pine Grove Ave
EDGEWATER,1016  W HOLLYWOOD AVE
NEW CITY,5024 S Wolcott Ave
Uptown,5161  N ASHLAND AVE
Calumet Heights,9401 S STONY ISLAND AVE
WASHINGTON PARK,5740 S Michigan Ave
NEAR NORTH SIDE,108 E Superior St
NEAR WEST SIDE,549 W Randolph St
NEAR WEST SIDE,318 S THROOP ST
WEST RIDGE,2416 2458 W GREENLEAF AVE
UPTOWN,4510 4518 N ASHLAND AVE
LOGAN SQUARE,1920 N Hamlin Ave
LINCOLN PARK,2720 2730 N Greenview Ave
WEST GARFIELD PARK,4320 4326 W MADISON ST
NORTH CENTER,2011 2023 W BELMONT AVE
LINCOLN PARK,2738  N PINE GROVE AVE
LOOP,200 W Monroe
NEAR NORTH SIDE,1200 N LAKE SHORE DR
NEAR NORTH SIDE,1001 N Crosby
WEST RIDGE,2451 W Touhy Ave
NEAR NORTH SIDE,20 E Delaware Pl
NEAR NORTH SIDE,25 E Delaware Pl
Near North Side,430 W Erie St
LOOP,37 S Wabash Ave
LOOP,221 N LaSalle St
LOOP,22 W Monroe St
HYDE PARK,5490 S Shore Dr
HYDE PARK,1500 1554 E 55th St
Near North Side,347 W Chestnut St
ENGLEWOOD,6800  S NORMAL BLVD
,4011 N Francisco Avenue
HYDE PARK,1100 E 57th St
LOOP,1 N Wacker Dr
WEST LAWN,7500 S Pulaski Ave
DOUGLAS,3445  S RHODES AVE
LOOP,150 W Roosevelt Rd
LOOP,201 N Westshore Dr
AUBURN GRESHAM,1817 W 80th St
NEAR NORTH SIDE,544 W Oak St
,1143 S Plymouth Court
NEAR NORTH SIDE,18  E ELM ST
NEAR NORTH SIDE,510 W Erie St
NEAR NORTH SIDE,21  E CHESTNUT ST
AUBURN GRESHAM,1230  W 76TH ST
ENGLEWOOD,6401 S Yale Ave
ENGLEWOOD,6855 S EMERALD ST
LOOP,500  S DEARBORN ST
NEAR WEST SIDE,27 N Aberdeen St
WEST TOWN,506  N DESPLAINES ST
GARFIELD RIDGE,5829 S Archer Ave
DOUGLAS,606 E WOODLAND PARK AVE
EDGEWATER,5411 N WINTHROP AVE
GARFIELD RIDGE,6107 S Archer Ave
LOOP,10 S Wabash Ave
LOWER WEST SIDE,329 W 18th St
LOOP,33 W Monroe St
NEAR SOUTH SIDE,1255 S State St
WEST TOWN,680 N GREEN ST
NEAR WEST SIDE,333 N Jefferson St
NEAR WEST SIDE,150 S Campbell Ave
AUSTIN,5235  W LAKE ST
Albany Park,4820 N KEDZIE AVE
LOOP,1 S Wacker
NEAR NORTH SIDE,750 N Rush St
NEAR NORTH SIDE,1000 N Lake Shore Plz
,4845-4859 N Harding
LINCOLN SQUARE,4455 N Lincoln Ave
WEST LAWN,7050 S Pulaski Rd
NEAR SOUTH SIDE,1235 S Prairie Ave
,1440 N Dayton Street
AUSTIN,5530 W Homer St
LOOP,300 E Randolph
EDGEWATER,6030 N Sheridan Rd
EDGEWATER,1020 W BRYN MAWR
ROSELAND,9301 S State St
NEAR WEST SIDE,100 N HERMITAGE AVE
Near North Side,1255 N State Parkway
EDGEWATER,6007 N Sheridan Rd
NEAR NORTH SIDE,1030 N State St
NEAR WEST SIDE,625 S Ashland Ave
WOODLAWN,6020 S Langely Ave
ROGERS PARK,7450  N ROGERS AVE
AUSTIN,1601 N Harlem Ave
SOUTH CHICAGO,8344 S Commercial Ave
WASHINGTON PARK,555 E 51st St
LOOP,170 N Dearborn Ave
NEAR NORTH SIDE,1300 1306 N ASTOR ST
CHATHAM,648 E 91st Pl
LAKE VIEW,515 523 W BARRY AVE
UPTOWN,4240 4248 N CLARENDON AVE
NEAR NORTH SIDE,1301 N DEARBORN ST
LOOP,25 E Washington St
NEAR WEST SIDE,560 W Fulton
NEAR NORTH SIDE,111  W HURON ST
NEAR NORTH SIDE,211 W Scott St
SOUTH LAWNDALE,2712 S Sawyer Ave
Near North Side,1415 N KINGSBURY ST
CHATHAM,112 W 87th St
NEAR NORTH SIDE,1155 N DEARBORN ST
LOOP,5 S Wabash Ave
NEAR WEST SIDE,130 S Jefferson St
DOUGLAS,10 W 33rd Street
HYDE PARK,5530 S Ellis Ave
LAKE VIEW,855 W Aldine Ave
ASHBURN,2940  W 87TH ST
IRVING PARK,4025 4041 N KEDVALE AVE
WEST TOWN,1579 N. Milwaukee Avenue
LOOP,11 W Quincy Ct
NEAR WEST SIDE,850 W Jackson Blvd
OHARE,11555 W Touhy Ave
Near North Side,545 McClurg Ct
NEAR NORTH SIDE,840 N Michigan Ave
BURNSIDE,1111 1135 E 87TH ST
NEAR SOUTH SIDE,1841 S Calumet Ave
LOGAN SQUARE,2367 W Logan Blvd
NEAR NORTH SIDE,201 E Delaware St
IRVING PARK,4058 W Melrose St
DOUGLAS,533  E 33RD PL
NEAR NORTH SIDE,424 W DIVISION ST
NEAR NORTH SIDE,1420 N Lake Shore Dr
NEAR WEST SIDE,226 N Clinton St
NEW CITY,5009 S Laflin St
PULLMAN,10808 - 10830 S Doty Ave W
GRAND BOULEVARD,750 E 40th St
Forest Glen,3939 W DEVON AVE
OHARE,5441 N East River Rd
Lake View,434 W MELROSE ST
NEAR NORTH SIDE,1220  N STATE PKWY
DOUGLAS,601  E 32ND ST
ENGLEWOOD,900  W 63RD PKWY
LOOP,65 E Monroe St
NEW CITY,2319 2333 W PERSHING RD
NEAR NORTH SIDE,200 E Illinios St
HUMBOLDT PARK,4545 W Division St
LOOP,800 S Michigan Ave
LINCOLN PARK,2720 N Sheffield Ave
OHARE,5337 5353 N DELPHIA AVE
NEAR SOUTH SIDE,55 W Cermak Rd
Irving Park,4054 N KEDZIE AVE
AUSTIN,116 N LECLAIRE AVE
NEAR NORTH SIDE,550 N Kingsbury St
EDGEWATER,5445 N Sheridan Rd
LINCOLN PARK,1153 1155 W ARMITAGE AVE
HYDE PARK,5734 S Ellis Ave
NEAR WEST SIDE,1645 W Ogden
ENGLEWOOD,838 W MARQUETTE RD
LOOP,77 W Washington
OHARE,10000 W O'Hare Dr
IRVING PARK,3800 N CALIFORNIA AVE
ALBANY PARK,4950 N Avers Ave
JEFFERSON PARK,4840  N LINDER AVE
GRAND BOULEVARD,401 E Bowen Ave
JEFFERSON PARK,5414 N Linder Ave
HYDE PARK,1126 E 59th St
Loop,1000 S CLARK ST
HUMBOLDT PARK,1740 N Kostner Ave
LAKE VIEW,1501 W Belmont Ave
UPTOWN,4615 N Clifton Ave
WEST TOWN,1551 N Kedzie Ave
Morgan Park,11505 S WESTERN AVE
NEAR NORTH SIDE,420  W GRAND AVE
GREATER GRAND CROSSING,122 160 W 79TH ST
LOOP,226 W Jackson Blvd
WEST ENGLEWOOD,6515 S Ashland Ave
NEAR NORTH SIDE,372 W Ontario St
Near North Side,521 N Rush St
NEAR NORTH SIDE,900 N Hudson
WEST TOWN,728 N Morgan St
LINCOLN PARK,2358 N Sheffield Ave
NEAR WEST SIDE,555 W Adams St
BEVERLY,10015 S Leavitt St
,3000 North Halsted Street
AUSTIN,509 N Parkside
,51 E 145h Street
LOOP,2 N LaSalle St
NEAR WEST SIDE,346 N Justine St
WASHINGTON PARK,220  E GARFIELD BLVD
LAKE VIEW,1630 W Barry Ave
LOOP,32 W RANDOLPH ST
LINCOLN PARK,2314 N LINCOLN PARK WEST
NEAR NORTH SIDE,505 N Michigan Ave
SOUTH SHORE,6900 6910 S CRANDON AVE
AUSTIN,5600 W Iowa St
LOOP,8 E Randolph St
Near West Side,1116 W ADAMS ST
NEAR WEST SIDE,1164 W Madison
Logan Square,2845 W BELDEN AVE
LAKE VIEW,3150 N Lake Shore Dr
LOOP,1  W WASHINGTON ST
SOUTH CHICAGO,7947  S SOUTH CHICAGO AVE
LAKE VIEW,505  W BELMONT AVE
BELMONT CRAGIN,3030 N Mobile Ave
NEAR NORTH SIDE,160 E Illinois St
BELMONT CRAGIN,2050 N NATCHEZ AVE
Near South Side,1802 S STATE ST
LINCOLN PARK,2323 N Sheffield Ave
HYDE PARK,1212 E 59th St
UPTOWN,711  W GORDON TER
ENGLEWOOD,655 W 65th St
NEAR SOUTH SIDE,1401 S State St
EDGEWATER,5200 N Ashland Ave
NEAR NORTH SIDE,400 N LaSalle St
LOOP,220 S Michigan Ave
NEAR SOUTH SIDE,2001 S Michigan Ave
,1 Thornwood Drive
NEAR NORTH SIDE,401 N Wabash Ave
AVONDALE,2727 W Roscoe St
SOUTH SHORE,7131 7143 S YATES BLVD
WEST TOWN,939 W HURON ST
AUSTIN,5101 W Harrison St
CHICAGO LAWN,6727 S California Ave
AUSTIN,4938 W Quincy St
NEAR WEST SIDE,506  W HARRISON ST
UPTOWN,4300 N MARINE DR
NEAR WEST SIDE,540 W Madison
CHICAGO LAWN,7430  S ROCKWELL ST
NORTH PARK,6211 N LINCOLN AVE
LOOP,134 N LaSalle St
LAKE VIEW,639  W GRACE ST
LOOP,150 N Michigan Ave
NEAR WEST SIDE,650 W Lake Street
NEAR NORTH SIDE,100 E Walton St
NEAR NORTH SIDE,469 West Huron St
NEAR NORTH SIDE,550 N St Clair St
HYDE PARK,5730 S Ellis Ave
NEAR NORTH SIDE,162 164 E ONTARIO ST
LOOP,68  E WACKER PL
NEAR NORTH SIDE,20 E Chestnut St
LOOP,53 W Jackson Blvd
LOOP,243 S Wabash Ave
LOOP,815 823 S WABASH AVE
MORGAN PARK,1460 W 112th St
Englewood,945 W 69th St
LOGAN SQUARE,2020 W Fullerton Ave
ROSELAND,10935 S HALSTED ST
LINCOLN PARK,1730 N Clark St
NEAR WEST SIDE,123 - 125 S Green St
NORWOOD PARK,6312 N Nagle Ave
,1061 W 16th Street
West Town,824 W Superior St
LINCOLN PARK,2335 2345 N GENEVA TER
LINCOLN SQUARE,5145 N Leavitt St
EDGEWATER,5948 5958 N BROADWAY
ROGERS PARK,1068 W Sheridan Rd
UPTOWN,5040 N KENMORE AVE
HYDE PARK,1101 E 56th St
KENWOOD,4627 4637 S DREXEL BLVD
ROGERS PARK,1209 W Arthur Ave
EAST GARFIELD PARK,3250 W Monroe St
NEAR NORTH SIDE,233  E ERIE ST
NEAR NORTH SIDE,600 N State St
LINCOLN PARK,1515 W Webster Avenue
NEAR NORTH SIDE,201 W Grand Ave
WEST RIDGE,6933 N Kedzie Ave
HYDE PARK,1660  E 55TH ST
EDGEWATER,6165  N WINTHROP AVE
NEAR SOUTH SIDE,1801  S WABASH AVE
ASHBURN,4400 W 83rd St
WEST LAWN,7601 S Cicero Ave
UPTOWN,4550 N Clarendon Ave
LAKE VIEW,344 358 W OAKDALE AVE
LAKE VIEW,714  N WAVELAND AVE
LINCOLN SQUARE,4540 N Campbell Ave
HEGEWISCH,2949 E 131st St
PORTAGE PARK,4650 N Menard Ave
NEAR WEST SIDE,33 S Ashland Ave
WOODLAWN,6340 S Dorchester Ave
NEAR WEST SIDE,737 W Washington Blvd
NEAR NORTH SIDE,410 N MICHIGAN AVE
LOOP,80  W HARRISON ST
ASHBURN,7740 S Western Ave
LINCOLN PARK,2140  N LINCOLN PARK West
OAKLAND,4161  S DREXEL BLVD
UPTOWN,850 W Irving Park Rd
ALBANY PARK,3244 W Ainslie St
GRAND BOULEVARD,3901 S State St
WASHINGTON PARK,6253  S MICHIGAN AVE
LAKE VIEW,3656 N Halsted St
AUSTIN,5957-73 W Madison St
Lake View,810 W. Grace St.
ARMOUR SQUARE,2734 S WENTWORTH AVE
UPTOWN,4310 4322 N CLARENDON AVE
WASHINGTON PARK,6244  S KING DR
LOOP,29 E Madison St
NEAR WEST SIDE,820 W Jackson Blvd
NEAR NORTH SIDE,1030 W DIVISION ST
NEAR NORTH SIDE,500 N Michigan Ave
LOOP,29 N Wacker Dr
NEAR WEST SIDE,120 N Racine Ave
GRAND BOULEVARD,4934 S Wabash Ave
NEAR WEST SIDE,20 22 N Aberdeen St
NEAR NORTH SIDE,1212 N Lake Shore Dr
NEAR NORTH SIDE,222 E Chestnut
CHICAGO LAWN,3400 W 65th Place
LAKE VIEW,701 709 W BROMPTON AVE
KENWOOD,4700 S Lake Park Ave
NEW CITY,4747 S Union Ave
LOOP,170  W POLK ST
EDGEWATER,5333 N Sheridan Rd
EDGEWATER,5415 N Sheridan Rd
OHARE,10510 W Zemke Rd
NEAR NORTH SIDE,633 N St Clair St
NEAR NORTH SIDE,440 N Wells St
North Lawndale,4339 W 18TH PL
NEAR WEST SIDE,1747 W ROOSEVELT RD
LINCOLN SQUARE,2472  W FOSTER
,1419 S Wabash Ave
,1251 S. Michigan Avenue
NEAR NORTH SIDE,33 W Illinois St
NEAR NORTH SIDE,50 E Bellevue Pl
IRVING PARK,3900 N Lawndale Ave
AUBURN GRESHAM,8324 S Racine Ave
NEAR NORTH SIDE,600 - 820 N Wabash St
HUMBOLDT PARK,3444 W Wabansia Ave
LINCOLN PARK,2512  N BOSWORTH AVE
KENWOOD,4537  S DREXEL BLVD
DOUGLAS,3420  S COTTAGE GROVE AVE
UPTOWN,4645 N Sherdian Rd
HUMBOLDT PARK,3201 3219 W NORTH AVE
BRIGHTON PARK,4756-4770  South Kedzie Avenue
NEAR WEST SIDE,1515 W Monroe St
LOOP,600 S Dearborn St
NEAR NORTH SIDE,540  N LAKE SHORE DR
NEAR NORTH SIDE,465 N Park Dr
ROGERS PARK,1533 W JARVIS AVE
GRAND BOULEVARD,4214 S St Lawrence Ave
NEW CITY,4640 S Halsted St
UPTOWN,1020 W LAWRENCE AVE
MORGAN PARK,11840 S Marshfield Ave
NEAR NORTH SIDE,900 N Franklin St
LAKE VIEW,3539  N HALSTED ST
PULLMAN,11203 S ELLIS ST
ARMOUR SQUARE,309  W 23RD ST
LOOP,17 N State St
AVONDALE,3119 N Pulaski Rd
NEAR WEST SIDE,564 W Randolph St
AUBURN GRESHAM,7650 S Wolcott Ave
LOGAN SQUARE,2021 N Point St
WEST LAWN,6800  S KEATING AVE
NEAR NORTH SIDE,750 N Dearborn St
EDGEWATER,6101E N Sheridan Rd
LOOP,19 S LaSalle St
Near North Side,367 W LOCUST ST
NEAR WEST SIDE,558 W De Koven St
NEAR NORTH SIDE,320 E Superior Street
AUBURN GRESHAM,8150 S Bishop St
LINCOLN PARK,930 W Altgeld St
LOOP,224 S Michigan Ave
ROGERS PARK,7219  N SHERIDAN RD
Grand Boulevard,121 E 47TH ST
ARMOUR SQUARE,344 W 28th Pl
NEAR NORTH SIDE,1000 N STATE ST
FULLER PARK,245 W 51ST ST
ROGERS PARK,7618 7628 N EASTLAKE TER
LAKE VIEW,3260  N LAKE SHORE DR
LOOP,135 S LaSalle St
NEAR NORTH SIDE,620 N Lasalle St
ROGERS PARK,1521 1523 W SHERWIN AVE
LOOP,235 W Van Buren St
NEAR NORTH SIDE,100 E Bellevue Pl
NORTH CENTER,2801-13 N Leavitt Street
LINCOLN PARK,558 W WEBSTER AVE
LAKE VIEW,3158 3184 N CLARK ST
LOWER WEST SIDE,2150 S Laflin St
UPTOWN,4520  N CLARENDON AVE
WOODLAWN,1155 E 60th St
Near West Side,939 W WASHINGTON BLVD
NEAR NORTH SIDE,459 W Division St
NEAR WEST SIDE,1901 W Madison St
DOUGLAS,3510 S RHODES AVE
WASHINGTON PARK,5334 S State St
LAKE VIEW,1333 W Belmont Ave
LAKE VIEW,3800 Lake Shore Dr
NEAR WEST SIDE,900 920 W MADISON
LOOP,345 E Wacker Dr
NEAR WEST SIDE,1430 S Ashland Ave
WASHINGTON PARK,5235 S State St
LOOP,1006 1012 S MICHIGAN AVE
SOUTH LAWNDALE,2875 W 19th St
LOOP,910 S Michigan Ave
NEAR WEST SIDE,130 S Canal St
NEAR NORTH SIDE,909 N Michigan Ave
West Town,1604 N RICHMOND ST
NEAR NORTH SIDE,1515  N ASTOR ST
NEAR NORTH SIDE,1340  N DEARBORN ST
NEAR NORTH SIDE,311 W Illinois St
WOODLAWN,6410 - 6428 S Dante Ave
EDGEWATER,6118  N SHERIDAN RD
OHARE,5332 N DELPHIA AVE
NEAR NORTH SIDE,30 E ELM ST
EAST GARFIELD PARK,2641 W Harrison St
ROGERS PARK,1122-40 W Lunt Ave
Humboldt Park,825 N CHRISTIANA AVE
NEAR NORTH SIDE,600 N KINGSBURY ST
EDGEWATER,6001  N KENMORE AVE
NEAR NORTH SIDE,1350 N Wells St
NEAR SOUTH SIDE,1808 S Michigan
UPTOWN,4180  N MARINE DR
NEAR WEST SIDE,171 N Aberdeen St
LAKE VIEW,3134 N Clark St
NEAR WEST SIDE,728 W Jackson Blvd
UPTOWN,5101 5115 N SHERIDAN RD
BRIGHTON PARK,4418 S Sacramento
SOUTH SHORE,2355  E 67TH ST
CALUMET HEIGHTS,2320 E 93rd St
NEAR NORTH SIDE,210 222 W Superior St
DUNNING,6433  W BELLE PLAINE AVE
NEW CITY,4620 S Damen Ave
NEAR NORTH SIDE,640 644 N WABASH AVE
EDGEWATER,5838 N SHERIDAN RD
NORTH LAWNDALE,1326 S Avers Ave
WOODLAWN,6424 6444 S STONYISLAND AVE
ROGERS PARK,7650  N PAULINA ST
,1308 N Elston
Edgewater,6327 N Kenmore Ave
SOUTH CHICAGO,8039 8045 S MANISTEE AVE
NEAR WEST SIDE,345-355 N Canal St
ENGLEWOOD,6425 S Lowe
EDGEWATER,6130  N SHERIDAN RD
LOOP,230 N Michigan Ave
DUNNING,4239 N OAKPARK AVE
LAKE VIEW,3161  N CAMBRIDGE AVE
LINCOLN PARK,2350 N Clifton Ave
NEAR NORTH SIDE,1450  N ASTOR ST
LOOP,73 E LAKE ST
NEAR WEST SIDE,1245  S WOOD ST
KENWOOD,1640  E 50TH ST
North Park,5801 N Pulaski Rd - Bldg E
WEST TOWN,950  W HURON ST
NEAR WEST SIDE,1634 W Polk St
NORWOOD PARK,7240 W Foster Ave
GRAND BOULEVARD,4724  S VINCENNES AVE
LAKE VIEW,3740  N PINE GROVE AVE
LAKE VIEW,440 442 W BARRY AVE
NEAR NORTH SIDE,10 E Ontario St
PULLMAN,929 E 103RD ST
SOUTH SHORE,7765 S Coles Ave
SOUTH CHICAGO,9230 S Burley Ave
ROSELAND,10115 S Prairie Ave
WEST ENGLEWOOD,6200 S RACINE
Oakland,3753 3755 S Cottage Grove Ave
ROSELAND,226 W 104th St
LAKE VIEW,2933 N Sheridan Rd
NEAR NORTH SIDE,320 W Ohio St
NEAR NORTH SIDE,1445 N State Pkwy
ROSELAND,137 W 108th Pl
NEAR NORTH SIDE,25 E Superior St
NEAR SOUTH SIDE,61 W 15TH ST
NEAR NORTH SIDE,210 E Pearson
ALBANY PARK,3729 W Leland Ave
LOOP,219 S Dearborn
NEAR WEST SIDE,222 S RACINE AVE
NEAR WEST SIDE,12 S Oakley Blvd
NEAR NORTH SIDE,315 - 331 N LaSalle St
NORTH LAWNDALE,3711 W Douglas Blvd
AUBURN GRESHAM,917 W 88th St
SOUTH SHORE,6901 6915 S OGLESBY AVE
HYDE PARK,5335 S Kenwood Ave
NEAR SOUTH SIDE,2535 S Dr Martin Luther King Jr Dr
CALUMET HEIGHTS,2301 2315 E 93rd St
LAKE VIEW,429 431 W ROSCOE ST
EDGEWATER,5439 5443 N KENMORE AVE
WEST TOWN,517 525 N HALSTED ST
NEAR NORTH SIDE,200 E Chestnut St
LAKE VIEW,3750 N Lake Shore Dr
NEAR NORTH SIDE,505 N State St
Hyde Park,5500 S UNIVERSITY AVE
NEAR NORTH SIDE,111 W Maple St
NEAR WEST SIDE,180 N Jefferson St
LOOP,30 N Michigan Ave
LOOP,1140 S Wabash Ave
NEAR WEST SIDE,1040 W Randolph St
LOOP,303 W Madison St
KENWOOD,810  E HYDE PARK BLVD
EDGEWATER,6000  N SHERIDAN RD
ALBANY PARK,5501 N Kenneth Ave
NEAR NORTH SIDE,19 E OHIO ST
NEAR NORTH SIDE,400 W Ontario St
WEST RIDGE,6700 N Whipple St
NEAR NORTH SIDE,165 E Ontario St
NEAR NORTH SIDE,201 E Chestnut St
NEAR NORTH SIDE,710 N Lakeshore Dr
,2600 North Kedzie Ave
Near North Side,1244 North Clybourn
NEAR WEST SIDE,2111 W Lexington St
West Town,1838 W CHICAGO AVE
NEAR WEST SIDE,550 W Washington
WOODLAWN,1307  E 60TH ST
EDISON PARK,7400 W Touhy
,5424 N Oketo Avenue
LINCOLN SQUARE,2617 2625 W GUNNISON ST
NEW CITY,4510 S Damen Ave
FULLER PARK,5401 S WENTWORTH AVE
Loop,839 S WELLS ST
ROSELAND,11445 S State St
,3426 N Elaine Place
LAKE VIEW,425 W Surf St
LINCOLN PARK,2350 N Kenmore Ave
NEAR NORTH SIDE,1310  N RITCHIE CT
AUSTIN,421 S Central Ave
KENWOOD,1380  E HYDE PARK BLVD
Lake View,3600 N Halsted St
LINCOLN PARK,2728 N HAMPDEN CT
LINCOLN PARK,2300 N Lincoln Park West
LINCOLN PARK,531 535 W DEMING PL
HUMBOLDT PARK,3600 3612 W FRANKLIN BLVD
HYDE PARK,1515 - 1531 E 53rd St
LAKE VIEW,536 552 W ADDISON ST
HYDE PARK,1020 - 1024 E 58th St
NEAR NORTH SIDE,845 N Michigan Ave
LINCOLN SQUARE,1945 W WILSON AVE
NEAR NORTH SIDE,300 E Ohio St
LOOP,180 N Michigan Ave
NEAR SOUTH SIDE,1212 S Plymouth Ct
NORTH CENTER,3905-29 N. Western Ave.
DUNNING,4300 N Narragansett
PORTAGE PARK,4006 4016 N AUSTIN AVE
NEAR NORTH SIDE,850 858 N LAKESHORE DR
NEAR NORTH SIDE,1309 N Wells St
NEAR SOUTH SIDE,125  E 21ST ST
EDGEWATER,6230 6236 N KENMORE AVE
WEST TOWN,984 N MILWAUKEE AVE
DOUGLAS,500 E 33rd St
LOOP,542 S Dearborn St
Near North Side,400 W Erie St
UPTOWN,4900  N SHERIDAN RD
WEST TOWN,365 N Halsted St
KENWOOD,4445 S Drexel Blvd
SOUTH SHORE,7425 S South Shore Dr
Near North Side,1 11 E Pearson Ave
NEAR NORTH SIDE,640 N Wells
NEW CITY,4619 S Wolcott Ave
NEAR NORTH SIDE,303 W Ohio St
LINCOLN PARK,2120  N LINCOLN PARK WEST
NEAR NORTH SIDE,643 N Orleans St
LOOP,55 W Monroe
LOOP,20 N Wacker Dr
UPTOWN,4700 N MARINE DR
PORTAGE PARK,4660 W Irving Park Rd
NEAR NORTH SIDE,551 557 W NORTH AVE
HERMOSA,2828 N Kilbourn Ave
NEAR NORTH SIDE,1122 N DEARBORN ST
JEFFERSON PARK,4825 4835 N CENTRAL AVE
NORTH CENTER,2401 W Grace St
LOOP,343 S DEARBORN ST
DUNNING,4106  N NARRAGANSETT AVE
,1101-11 East 58th Street
LAKE VIEW,433 W BRIAR PL
UPTOWN,4851 - 4887 N Broadway Ave
HYDE PARK,970 E 58th St
NEAR WEST SIDE,2245 W Jackson Blvd
MCKINLEY PARK,3510 3524 S WESTERN AVE
NEAR NORTH SIDE,1100  N LASALLE DR
MORGAN PARK,1744 W Pryor Ave
Logan Square,2733 W BELDEN AVE
NEAR NORTH SIDE,11 21 W GOETHE ST
WASHINGTON HEIGHTS,1010  W 95TH ST
NORTH CENTER,3730 N Oakley Ave
NEAR NORTH SIDE,800 810 N CLARK ST
LOOP,233 N Michigan Ave
Near North Side,1500 N Clybourn Ave
NEAR WEST SIDE,555 W Harrison St
LOWER WEST SIDE,2301 W 21st Pl
WEST TOWN,1313 N Claremont Ave
LAKE VIEW,737  W CORNELIA AVE
NEAR NORTH SIDE,244 E Pearson St
NEAR NORTH SIDE,216  E ONTARIO ST
UPTOWN,5000 N Marine Dr
,330 W Grand Ave
East Garfield Park,3210 W Arthington St
NEAR NORTH SIDE,301 E N Water St
UPTOWN,5042 N. Winthrop
NEAR WEST SIDE,1504  W VAN BUREN ST
DOUGLAS,2701 S Indiana Ave
NEAR NORTH SIDE,333 E Ontario St
MORGAN PARK,2320  W 113TH PL
,403 N Wabash
HYDE PARK,1100 E 55TH ST
UPTOWN,5040-5060 N Marine
ARMOUR SQUARE,501 W 24th Pl
HYDE PARK,5747 S Ellis Ave
CHICAGO LAWN,6929 S Fairfield
LOWER WEST SIDE,2021  S MORGAN ST
AUSTIN,501 525 N CENTRAL AVE
NEAR NORTH SIDE,59 W North Blvd
LAKE VIEW,420  W MELROSE ST
LINCOLN PARK,2600  N HAMPDEN CT
NEAR NORTH SIDE,1250  N LASALLE DR
NEAR NORTH SIDE,1415 N DAYTON ST
LAKE VIEW,851 W Waveland Ave
NEAR WEST SIDE,1645 W Jackson Blvd
NEAR WEST SIDE,54 N Hermitage Ave
DOUGLAS,3311 S Michigan Ave
NEAR WEST SIDE,165 N Canal St
DUNNING,3740 N Panama Ave
NEAR NORTH SIDE,50 E Chestnut St
Portage Park,4758 N Laramie Ave
Near West Side,2217 W MADISON ST
West Town,830 N MILWAUKEE AVE
LOOP,1100  S MICHIGAN AVE
ROGERS PARK,1000 - 1008 W Loyola Ave
HYDE PARK,5325  S COTTAGE GROVE AVE
,1115-25 East 58th Street
DUNNING,6526  W IRVING PARK RD
SOUTH SHORE,7431 7445 S EAST END AVE
NEAR NORTH SIDE,250 270 E Pearson St
EDGEWATER,5815 N Sheridan Rd
,900-10 W Winona Street
WEST PULLMAN,801- 831 W 119th St.
