community_area,address
Lincoln Park,513 W Fullerton Pkwy
ROGERS PARK,1509 1521 W MORSE AVE
NEAR NORTH SIDE,1120 N Lake Shore Dr
LOGAN SQUARE,2575 W Lyndale
ROGERS PARK,1329 1337 W TOUHY AVE
NORTH LAWNDALE,3301 W Arthington St
HYDE PARK,5720 S Ellis Ave
ALBANY PARK,4444  W LAWRENCE AVE
NEAR NORTH SIDE,535 N Michigan Ave
LOOP,131 S Dearborn
,3145-61 N Lincoln
UPTOWN,1217 1227 W WILSON AVE
NEAR NORTH SIDE,110 W SUPERIOR ST
NEAR NORTH SIDE,350 N Clark St
UPTOWN,4646 N Marine Dr
Woodlawn,1201 E 60TH ST
Near West Side,904 W Washington Blvd
OHARE,8734 W Catalpa
Rogers Park,6526 N Winthrop
WEST ENGLEWOOD,7030 S Ashland Ave
LOGAN SQUARE,2701 2749 N ELSTON AVE
NORTH CENTER,2040 2044  W BELMONT AVE
GRAND BOULEVARD,5001 - 5013 S Michigan Ave
NEAR WEST SIDE,1330 W. Fulton
NEAR NORTH SIDE,213 W Institute Pl
ARCHER HEIGHTS,4975 S Archer Ave
West Town,2942 W NORTH AVE
LAKE VIEW,337 339 W BARRY AVE
IRVING PARK,4540 W Belmont Ave
NEAR WEST SIDE,15 25 S THROOP ST
LOGAN SQUARE,2112 N ASHLAND AVE
KENWOOD,1617  E 50TH PL
EDGEWATER,6334 6344 N SHERIDAN RD
EDGEWATER,5900 N Glenwood Ave
GREATER GRAND CROSSING,1010 E 72nd St
LOOP,30 32 E ADAMS ST
NEAR NORTH SIDE,530 N La Salle Dr
NORTH PARK,6135-6199 North Lincoln
HYDE PARK,5555 S Everett Ave
NEAR WEST SIDE,547 W Jackson Blvd
LINCOLN PARK,2258 N Clybourn Ave
NORTH LAWNDALE,1333 1339 S INDEPENDENCE BLVD
NEAR SOUTH SIDE,2301 2305 S MICHIGAN AVE
WASHINGTON HEIGHTS,10330 S Elizabeth St
LINCOLN PARK,1636 N Wells St
EDGEWATER,5220 5224 N KENMORE AVE
LAKE VIEW,501  W SURF ST
WASHINGTON PARK,5152 5178 S KING DR
CHATHAM,8560 S Cottage Grove Ave
WEST RIDGE,6101 6115 N SEELEY AVE
HYDE PARK,5825  S DORCHESTER AVE
WEST TOWN,1711 N California Ave
NEAR WEST SIDE,120 N Green St
NORWOOD PARK,7342 W Foster Ave
WEST TOWN,1232 W North Ave
